catchment,longitude,latitude,mean_sp,mean_ai,mean_si,bfi,q5Frac,low_fdc,mean_low_flow_dur,q95Frac,high_fdc,mean_high_flow_dur
981,-93.73992,37.2418,0.059228282302631594,1.0931476432519,0.16863520825226,0.5074862662485875,0.07949768665455832,4.090397006569202,37.73033707865169,3.1971183055611556,5.100220937133867,8.267241379310345
982,-93.99149,37.64113,0.06262925424421051,1.15177898035199,0.225963132095628,0.2652109429029092,6.858029423278263e-4,16.49167173866463,28.834355828220858,4.025365096272017,8.735917402344796,10.152173913043478
983,-93.18724,37.46792,0.0660160780431579,1.10525251709412,0.140355587028589,0.34375106494325325,0.02460214400819778,5.960989668039343,23.195530726256983,3.4809784630445693,6.7376514223943875,6.805825242718447
984,-93.18296,37.68839,0.0654700229652632,1.12571416902211,0.149547129867356,0.26519514968098823,0.00217429359742239,13.28933813294572,19.349137931034484,3.0630361053687847,7.163490204839293,6.281632653061225
985,-92.2172,37.57759,0.05163511183,1.07569694259381,0.103733147873236,0.4953838026855169,0.1635647688908504,2.107157899020021,25.419354838709676,3.058849183740377,5.3539601558939305,5.546762589928058
986,-91.3531,37.81983,0.049806137614210495,1.05290208596683,0.0897045982351867,0.5265090029990014,0.19723833695914889,2.0777989848403644,21.21804511278195,2.874709934735305,4.964858262709948,4.551724137931035
987,-93.11556,35.93055,0.0361232454984211,1.02670408465875,0.00483918733492257,0.3982319299215449,0.0269749495082041,5.609178809865343,28.541353383458645,3.58505780560648,6.0715435557063575,7.403225806451613
988,-92.10894,36.85725,0.04902232638,1.04040831949805,0.0244244704942807,0.6645560615824595,0.3621719854385192,1.1861581051433634,13.948275862068966,2.281296847779994,3.67081663868521,3.5949367088607596
989,-92.28132,36.04117,0.0376185202057895,1.06616915481473,0.00266835323239037,0.3239887218623482,0.05874308112634206,3.3132878357127993,23.768817204301076,3.284974931407288,7.214375707500235,6.611111111111111
990,-91.65536,37.0933,0.042708114144210496,1.03259787917098,0.0442096254381261,0.5694078844737459,0.24943102987616217,1.5818600990943308,21.89189189189189,2.71768137029252,4.628566018567353,3.6095890410958904
991,-91.47548,37.22114,0.043969751143157904,1.02487676253186,0.0474800344132303,0.6512636138558537,0.3249015495715361,1.398516468422118,16.454545454545453,2.611688914022516,4.16581549931263,3.5145631067961167
992,-91.38675,37.1495,0.0429824435894737,1.01856322405644,0.0335055654781395,0.6894338196300277,0.39393243301446906,1.1175330785483426,13.06896551724138,2.3248524827738195,3.5907989655342716,3.2278481012658227
993,-91.54155,36.85366,0.0437531836647368,1.01728890507196,0.0142909221561254,0.7191838409209137,0.3123477995685692,2.116430674413761,27.13888888888889,2.1783665726368873,3.1264104044872227,3.941176470588235
994,-106.45968,39.15028,0.824058018157895,0.778719329623204,0.0758098014020896,0.589523861358995,0.11596131990603516,2.01822404300958,66.28070175438596,4.638452796241406,7.405241795418345,25.096153846153847
995,-97.5656,37.37125,0.0580478037121053,1.73702092603434,0.445192606553602,0.16699552154095695,0.01616034498389046,6.169993719035961,22.858870967741936,3.6209636296637857,10.942224829171952,4.221311475409836
996,-99.03979,37.10984,0.051781287241052604,2.4085537711219702,0.442169405064892,0.485293561701478,0.01159528754419217,11.78388305597971,18.786516853932586,3.120032954245492,5.668137795735018,6.6722689075630255
997,-98.84362,37.38117,0.0507959572557895,2.2970151430862,0.435741297826463,0.5875002569405815,0.00997240339755608,15.022110873580674,19.382978723404257,2.5081413203398824,4.071990087900667,3.9397590361445785
